"DATE","WS_2","WS_3","YEAR"
1963-01-14,0,0,"1963"
1963-01-15,0,0,"1963"
1963-01-16,0,0,"1963"
1963-01-17,0,0,"1963"
1963-01-18,1.3,1.5,"1963"
1963-01-19,0,0,"1963"
1963-01-20,15.5,16,"1963"
1963-01-21,1,1,"1963"
1963-01-22,0,0,"1963"
1963-01-23,20.8,21.8,"1963"
1963-01-24,0,0,"1963"
1963-01-25,0,0,"1963"
1963-01-26,0,0,"1963"
1963-01-27,21.6,22.6,"1963"
1963-01-28,0,0,"1963"
1963-01-29,0,0,"1963"
1963-01-30,0,0,"1963"
1963-01-31,0,0,"1963"
1963-02-01,0,0,"1963"
1963-02-02,22.4,22.9,"1963"
1963-02-03,1.5,1.5,"1963"
1963-02-04,1.5,1.5,"1963"
1963-02-05,3.3,3.6,"1963"
1963-02-06,2,2.3,"1963"
1963-02-07,2.8,2.8,"1963"
1963-02-08,0,0,"1963"
1963-02-09,0,0,"1963"
1963-02-10,1,0.8,"1963"
1963-02-11,0,0,"1963"
1963-02-12,16.5,17.3,"1963"
1963-02-13,2,2.3,"1963"
1963-02-14,1.8,2,"1963"
1963-02-15,0,0,"1963"
1963-02-16,0,0,"1963"
1963-02-17,0,0,"1963"
1963-02-18,0,0,"1963"
1963-02-19,8.9,8.4,"1963"
1963-02-20,4.8,4.6,"1963"
1963-02-21,2.5,2.5,"1963"
1963-02-22,0,0,"1963"
1963-02-23,0,0,"1963"
1963-02-24,6.9,6.6,"1963"
1963-02-25,0,0,"1963"
1963-02-26,0,0,"1963"
1963-02-27,0,0,"1963"
1963-02-28,0,0,"1963"
1963-03-01,8.6,8.9,"1963"
1963-03-02,8.4,8.9,"1963"
1963-03-03,0,0,"1963"
1963-03-04,6.3,6.3,"1963"
1963-03-05,0,0,"1963"
1963-03-06,20.8,21.3,"1963"
1963-03-07,1.5,1.5,"1963"
1963-03-08,0,0,"1963"
1963-03-09,0,0,"1963"
1963-03-10,18.8,19.3,"1963"
1963-03-11,0,0,"1963"
1963-03-12,10.4,10.2,"1963"
1963-03-13,5.6,5.6,"1963"
1963-03-14,3.6,3.6,"1963"
1963-03-15,0,0,"1963"
1963-03-16,0,0,"1963"
1963-03-17,12.7,12.7,"1963"
1963-03-18,2.3,2.3,"1963"
1963-03-19,0.3,0.3,"1963"
1963-03-20,6.6,6.3,"1963"
1963-03-21,0,0,"1963"
1963-03-22,0,0,"1963"
1963-03-23,0,0,"1963"
1963-03-24,0,0,"1963"
1963-03-25,1,1.3,"1963"
1963-03-26,0,0,"1963"
1963-03-27,7.1,7.6,"1963"
1963-03-28,0,0,"1963"
1963-03-29,0,0,"1963"
1963-03-30,1,1.3,"1963"
1963-03-31,0,0,"1963"
1963-04-01,0,0,"1963"
1963-04-02,0.3,0.3,"1963"
1963-04-03,19.8,20.1,"1963"
1963-04-04,13.7,14,"1963"
1963-04-05,0,0,"1963"
1963-04-06,0,0,"1963"
1963-04-07,1.5,1.3,"1963"
1963-04-08,0,0,"1963"
1963-04-09,0,0,"1963"
1963-04-10,1.5,2,"1963"
1963-04-11,5.3,6.2,"1963"
1963-04-12,0,0,"1963"
1963-04-13,0,0,"1963"
1963-04-14,0,0,"1963"
1963-04-15,0,0,"1963"
1963-04-16,0,0,"1963"
1963-04-17,0,0,"1963"
1963-04-18,7.6,7.6,"1963"
1963-04-19,8.9,9.1,"1963"
1963-04-20,7.9,8.1,"1963"
1963-04-21,11.2,11.2,"1963"
1963-04-22,0.3,0.3,"1963"
1963-04-23,9.7,9.7,"1963"
1963-04-24,0,0,"1963"
1963-04-25,1.8,1.5,"1963"
1963-04-26,0,0,"1963"
1963-04-27,0,0,"1963"
1963-04-28,0,0,"1963"
1963-04-29,0,0,"1963"
1963-04-30,49.8,52.1,"1963"
1963-05-01,3.6,3.8,"1963"
1963-05-02,0,0,"1963"
1963-05-03,0,0,"1963"
1963-05-04,0,0,"1963"
1963-05-05,1,1,"1963"
1963-05-06,0,0,"1963"
1963-05-07,0,0,"1963"
1963-05-08,11.9,11.9,"1963"
1963-05-09,1.3,1,"1963"
1963-05-10,4.1,4.1,"1963"
1963-05-11,7.9,7.9,"1963"
1963-05-12,4.1,4.1,"1963"
1963-05-13,0,0,"1963"
1963-05-14,0,0,"1963"
1963-05-15,0,0,"1963"
1963-05-16,0,0,"1963"
1963-05-17,0,0,"1963"
1963-05-18,27.2,26.4,"1963"
1963-05-19,0.8,0.8,"1963"
1963-05-20,7.4,7.6,"1963"
1963-05-21,0,0,"1963"
1963-05-22,3.3,3.3,"1963"
1963-05-23,0,0,"1963"
1963-05-24,0,0,"1963"
1963-05-25,0,0,"1963"
1963-05-26,0,0,"1963"
1963-05-27,0,0,"1963"
1963-05-28,0,0,"1963"
1963-05-29,2.3,2.3,"1963"
1963-05-30,2.8,3,"1963"
1963-05-31,0,0,"1963"
1963-06-01,0,0,"1963"
1963-06-02,0,0,"1963"
1963-06-03,0,0,"1963"
1963-06-04,0,0,"1963"
1963-06-05,0,0,"1963"
1963-06-06,5.6,4.8,"1963"
1963-06-07,0,0,"1963"
1963-06-08,0,0,"1963"
1963-06-09,4.6,4.1,"1963"
1963-06-10,0,0,"1963"
1963-06-11,3,3,"1963"
1963-06-12,6.9,6.9,"1963"
1963-06-13,0,0,"1963"
1963-06-14,15.2,15.7,"1963"
1963-06-15,0,0,"1963"
1963-06-16,0,0,"1963"
1963-06-17,2.5,2.5,"1963"
1963-06-18,5.8,5.6,"1963"
1963-06-19,0,0,"1963"
1963-06-20,10.9,10.9,"1963"
1963-06-21,7.9,7.9,"1963"
1963-06-22,0,0,"1963"
1963-06-23,0,0,"1963"
1963-06-24,0,0,"1963"
1963-06-25,0,0,"1963"
1963-06-26,0,0,"1963"
1963-06-27,1.3,1.8,"1963"
1963-06-28,1.5,1.8,"1963"
1963-06-29,0,0,"1963"
1963-06-30,0,0,"1963"
1963-07-01,0,0,"1963"
1963-07-02,2.5,2.8,"1963"
1963-07-03,0,0,"1963"
1963-07-04,2.3,2.5,"1963"
1963-07-05,2.3,2.5,"1963"
1963-07-06,0,0,"1963"
1963-07-07,5.8,6.1,"1963"
1963-07-08,27.7,29,"1963"
1963-07-09,0,0,"1963"
1963-07-10,0,0,"1963"
1963-07-11,0,0,"1963"
1963-07-12,0,0,"1963"
1963-07-13,0,0,"1963"
1963-07-14,7.1,7.4,"1963"
1963-07-15,5.8,6.1,"1963"
1963-07-16,0,0,"1963"
1963-07-17,0,0,"1963"
1963-07-18,6.3,6.3,"1963"
1963-07-19,0,0,"1963"
1963-07-20,0,0,"1963"
1963-07-21,4.6,4.6,"1963"
1963-07-22,0,0,"1963"
1963-07-23,0,0,"1963"
1963-07-24,0,0,"1963"
1963-07-25,0,0,"1963"
1963-07-26,0,0,"1963"
1963-07-27,0,0,"1963"
1963-07-28,0,0,"1963"
1963-07-29,3.6,3.8,"1963"
1963-07-30,2.8,3,"1963"
1963-07-31,0,0,"1963"
1963-08-01,4.6,5.3,"1963"
1963-08-02,16.8,18.5,"1963"
1963-08-03,0.5,0.5,"1963"
1963-08-04,11.4,12.7,"1963"
1963-08-05,0,0,"1963"
1963-08-06,0,0,"1963"
1963-08-07,8.1,8.1,"1963"
1963-08-08,0,0,"1963"
1963-08-09,0,0,"1963"
1963-08-10,0,0,"1963"
1963-08-11,4.3,4.3,"1963"
1963-08-12,0,0,"1963"
1963-08-13,27.4,27.7,"1963"
1963-08-14,18.8,19,"1963"
1963-08-15,2.8,2.8,"1963"
1963-08-16,0.5,0.5,"1963"
1963-08-17,3.3,3.3,"1963"
1963-08-18,4.1,4.1,"1963"
1963-08-19,0,0,"1963"
1963-08-20,12.2,12.2,"1963"
1963-08-21,0,0,"1963"
